arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,layout,line_size,mean_hit_rate,n_samples
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,65536,cout,cin_cout_2d,64,0.932798,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,fully_associative,0,16384,cout,cin_cout_2d,64,0.998595,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,fully_associative,0,32768,cout,cin_cout_2d,64,0.998595,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,fully_associative,0,65536,cout,cin_cout_2d,64,0.998595,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,cout,cin_cout_2d,16,0.012849,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,cout,cin_cout_2d,16,0.075847,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,cout,cin_cout_2d,16,0.200296,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,cout,cin_cout_2d,16,0.004146,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,cout,cin_cout_2d,16,0.113081,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,cout,cin_cout_2d,16,0.494374,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,cout,cin_cout_2d,16,0.002570,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,32768,cout,cin_cout_2d,16,0.110951,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,65536,cout,cin_cout_2d,16,0.566107,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,fully_associative,0,16384,cout,cin_cout_2d,16,0.947143,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,fully_associative,0,32768,cout,cin_cout_2d,16,0.984966,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,fully_associative,0,65536,cout,cin_cout_2d,16,0.984966,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,16384,cout,cin_cout_2d,32,0.143964,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,32768,cout,cin_cout_2d,32,0.162893,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,4,65536,cout,cin_cout_2d,32,0.258193,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,16384,cout,cin_cout_2d,32,0.142977,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,32768,cout,cin_cout_2d,32,0.152551,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,16,65536,cout,cin_cout_2d,32,0.338782,5
loas,resnet19_T4_all,layer_04_layer1_1_conv1,set_associative,32,16384,cout,cin_cout_2d,32,0.142897,5
