arch_config,workload,layer,sample_idx,cache_type,associativity,l1_size_bytes,l2_size_bytes,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,overall_hit_rate,n_cores
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,fully_associative,0,32768,262144,3047616,3182208,0.9577048389043079,127616,134592,0.9481692819781264,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,fully_associative,0,32768,524288,3047616,3182208,0.9577048389043079,127616,134592,0.9481692819781264,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,fully_associative,0,32768,1048576,3047616,3182208,0.9577048389043079,127616,134592,0.9481692819781264,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,32,16384,131072,662432,3182208,0.20816741080407064,2512800,2519776,0.9972314999428521,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,32,16384,262144,662432,3182208,0.20816741080407064,2512800,2519776,0.9972314999428521,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,32,16384,524288,662432,3182208,0.20816741080407064,2512800,2519776,0.9972314999428521,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,32,16384,1048576,662432,3182208,0.20816741080407064,2512800,2519776,0.9972314999428521,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,32,32768,131072,955776,3182208,0.3003499456980813,2219456,2226432,0.9968667356559733,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,32,32768,262144,955776,3182208,0.3003499456980813,2219456,2226432,0.9968667356559733,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,32,32768,524288,955776,3182208,0.3003499456980813,2219456,2226432,0.9968667356559733,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,32,32768,1048576,955776,3182208,0.3003499456980813,2219456,2226432,0.9968667356559733,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,4,16384,131072,692256,3182208,0.21753951972969712,2482976,2489952,0.9971983395663853,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,4,16384,262144,692256,3182208,0.21753951972969712,2482976,2489952,0.9971983395663853,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,4,16384,524288,692256,3182208,0.21753951972969712,2482976,2489952,0.9971983395663853,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,4,16384,1048576,692256,3182208,0.21753951972969712,2482976,2489952,0.9971983395663853,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,4,32768,131072,783840,3182208,0.24631953662362738,2391392,2398368,0.9970913554550428,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,4,32768,262144,783840,3182208,0.24631953662362738,2391392,2398368,0.9970913554550428,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,4,32768,524288,783840,3182208,0.24631953662362738,2391392,2398368,0.9970913554550428,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,set_associative,4,32768,1048576,783840,3182208,0.24631953662362738,2391392,2398368,0.9970913554550428,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,fully_associative,0,16384,131072,3231424,3370176,0.9588294498566247,132576,138752,0.9554889298892989,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,fully_associative,0,16384,262144,3231424,3370176,0.9588294498566247,132576,138752,0.9554889298892989,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,fully_associative,0,16384,524288,3231424,3370176,0.9588294498566247,132576,138752,0.9554889298892989,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,fully_associative,0,16384,1048576,3231424,3370176,0.9588294498566247,132576,138752,0.9554889298892989,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,fully_associative,0,32768,131072,3231424,3370176,0.9588294498566247,132576,138752,0.9554889298892989,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,fully_associative,0,32768,262144,3231424,3370176,0.9588294498566247,132576,138752,0.9554889298892989,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,fully_associative,0,32768,524288,3231424,3370176,0.9588294498566247,132576,138752,0.9554889298892989,0.998167454756072,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,4,fully_associative,0,32768,1048576,3231424,3370176,0.9588294498566247,132576,138752,0.9554889298892989,0.998167454756072,1024
